,0,1,2,3
Jive,"[137.470286407364, 179.25106122736037, (0.008367835565922981+8.093060137937775e-05j)]","[137.470286407364, 179.25106122736037, 0j]","[137.470286407364, 179.25106122736037, (0.016666666666666666+0j)]","[137.470286407364, 179.25106122736037, (0.008315741342859475-0.00016269255616368833j)]"
Quickstep,"[131.76017702918537, 171.62203416664764, 0j]","[131.76017702918537, 171.62203416664764, 0j]","[131.76017702918537, 171.62203416664764, (0.24315780284698818+0.009198324685745933j)]","[131.76017702918537, 171.62203416664764, 0j]"
Rumba,"[123.41786323143356, 175.15605629423405, (0.09189446471535523+0.002745044499202424j)]","[123.41786323143356, 175.15605629423405, (0.046022175428112565-0.0016937394210258228j)]","[123.41786323143356, 175.15605629423405, 0j]","[123.41786323143356, 175.15605629423405, 0j]"
Samba,"[140.77240568465797, 188.28054379520503, (0.14559525195161452-0.0038569407639096214j)]","[140.77240568465797, 188.28054379520503, (0.04674224297897081-0.0030831160691257987j)]","[140.77240568465797, 188.28054379520503, (0.005864389146012812-0.00084092038304774j)]","[140.77240568465797, 188.28054379520503, 0j]"
Tango,"[142.61697760661397, 193.4140521808627, (0.052104629628830654-0.0014797224262052887j)]","[142.61697760661397, 193.4140521808627, 0j]","[142.61697760661397, 193.4140521808627, 0j]","[142.61697760661397, 193.4140521808627, 0j]"
Viennese waltz,"[137.531072220794, 187.39179785469423, 0j]","[137.531072220794, 187.39179785469423, 0j]","[137.531072220794, 187.39179785469423, (0.007671299513624018-0.0013092563276574118j)]","[137.531072220794, 187.39179785469423, 0j]"
Waltz,"[149.95019789877261, 198.75956381535778, (0.059179351981918156-6.052099363876531e-05j)]","[149.95019789877261, 198.75956381535778, (0.1363515470546293+0.001298118924043549j)]","[149.95019789877261, 198.75956381535778, 0j]","[149.95019789877261, 198.75956381535778, 0j]"
ChaCha,"[118.33746208865523, 164.33747807827984, (0.04059249953714507+0.0009904039974610443j)]","[118.33746208865523, 164.33747807827984, 0j]","[118.33746208865523, 164.33747807827984, 0j]","[118.33746208865523, 164.33747807827984, 0j]"
