,0,1,2,3
Jive,"[100.25988777755522, 156.12436142313115, 0.0]","[100.25988777755522, 156.12436142313115, 0.0]","[100.25988777755522, 156.12436142313115, 0.4084803062724782]","[100.25988777755522, 156.12436142313115, 0.0]"
Quickstep,"[100.50668569711549, 105.9270337577239, 0.0]","[100.50668569711549, 105.9270337577239, 0.0]","[100.50668569711549, 105.9270337577239, 0.9390336171568883]","[100.50668569711549, 105.9270337577239, 0.0]"
Rumba,"[105.00328422973925, 125.73329694914618, 0.15255513092028952]","[105.00328422973925, 125.73329694914618, 0.0]","[105.00328422973925, 125.73329694914618, 0.0]","[105.00328422973925, 125.73329694914618, 0.0]"
Samba,"[104.4811017155958, 133.2444949312783, 0.046359575365811825]","[104.4811017155958, 133.2444949312783, 0.0]","[104.4811017155958, 133.2444949312783, 0.0]","[104.4811017155958, 133.2444949312783, 0.0]"
Tango,"[122.42116086636582, 129.97827373915098, 0.0]","[122.42116086636582, 129.97827373915098, 0.0]","[122.42116086636582, 129.97827373915098, 0.0]","[122.42116086636582, 129.97827373915098, 0.0]"
Viennese waltz,"[110.06253708649349, 147.36978264575984, 0.0]","[110.06253708649349, 147.36978264575984, 0.0]","[110.06253708649349, 147.36978264575984, 0.3153337233786169]","[110.06253708649349, 147.36978264575984, 0.0]"
Waltz,"[121.33565072979943, 136.48775214961717, 0.22731104323260082]","[121.33565072979943, 136.48775214961717, 0.0]","[121.33565072979943, 136.48775214961717, 0.0]","[121.33565072979943, 136.48775214961717, 0.0]"
ChaCha,"[114.5314811739004, 125.61653767359842, 0.0]","[114.5314811739004, 125.61653767359842, 0.0]","[114.5314811739004, 125.61653767359842, 0.0]","[114.5314811739004, 125.61653767359842, 0.0]"
