,0,1,2,3
more greek,"[144.69133879183778, 180.4834093533063, (0.14144720073575212+0.000292234455655991j)]","[144.69133879183778, 180.4834093533063, (0.15221641339995215-0.0013760011912423255j)]","[144.69133879183778, 180.4834093533063, 0j]","[144.69133879183778, 180.4834093533063, 0j]"
greek,"[134.54141349479326, 168.48206522200877, (0.11606405590513115+0.007878362350346915j)]","[134.54141349479326, 168.48206522200877, (0.07680274681708+0.004487400187346806j)]","[134.54141349479326, 168.48206522200877, 0j]","[134.54141349479326, 168.48206522200877, 0j]"
Kocani Orkester,"[143.99339350569608, 167.19898897058823, (0.25498315879125594+0.03355352186165543j)]","[143.99339350569608, 167.19898897058823, 0j]","[143.99339350569608, 167.19898897058823, 0j]","[143.99339350569608, 167.19898897058823, 0j]"
Bach,"[137.39235276442307, 186.34978225927034, (0.05051468784788419-0.006416938420903311j)]","[137.39235276442307, 186.34978225927034, (0.04973500313326494-0.011661777823881935j)]","[137.39235276442307, 186.34978225927034, 0j]","[137.39235276442307, 186.34978225927034, 0j]"
Tomatito,"[183.59317555147058, 223.43835363854896, (0.40018940505424216+0.02419259277507696j)]","[183.59317555147058, 223.43835363854896, 0j]","[183.59317555147058, 223.43835363854896, 0j]","[183.59317555147058, 223.43835363854896, 0j]"
Paulinho da Viola & Elton Medeiros,"[140.96400709827213, 178.078996642562, (0.08972755962963995-0.0004252742618373518j)]","[140.96400709827213, 178.078996642562, (0.0903477927706884-0.017190267241219075j)]","[140.96400709827213, 178.078996642562, 0j]","[140.96400709827213, 178.078996642562, 0j]"
Teresa Cristina,"[140.08199921359798, 185.8869183338871, (0.13333333333333333+0j)]","[140.08199921359798, 185.8869183338871, (0.033776313207900595+0.004557290914758917j)]","[140.08199921359798, 185.8869183338871, 0j]","[140.08199921359798, 185.8869183338871, 0j]"
Fado,"[151.0007535857682, 188.17187653066225, (0.05066681540613964-0.005049611920606828j)]","[151.0007535857682, 188.17187653066225, (0.049353793359646424+0.007848096428397358j)]","[151.0007535857682, 188.17187653066225, 0j]","[151.0007535857682, 188.17187653066225, 0j]"
Genesis,"[130.50426136363637, 169.189453125, 0j]","[130.50426136363637, 169.189453125, 0j]","[130.50426136363637, 169.189453125, 0j]","[130.50426136363637, 169.189453125, 0j]"
Femi_Kuti,"[101.15988212719299, 146.6657797987616, (0.16706225337565472-0.0011373965137123228j)]","[101.15988212719299, 146.6657797987616, 0j]","[101.15988212719299, 146.6657797987616, 0j]","[101.15988212719299, 146.6657797987616, 0j]"
Aviador_Dro,"[131.75106254374342, 185.0048385322266, (0.026668864063807283+0.003628353708324143j)]","[131.75106254374342, 185.0048385322266, (0.07933979993357736-0.0027285165671125915j)]","[131.75106254374342, 185.0048385322266, 0j]","[131.75106254374342, 185.0048385322266, 0j]"
"Elton Medeiros, Nelson Sargento & Galo Preto","[115.9893805192447, 165.48801867686086, (0.030815067325091164-0.0004223877536105173j)]","[115.9893805192447, 165.48801867686086, (0.06253585746949576+0.009052500885242343j)]","[115.9893805192447, 165.48801867686086, 0j]","[115.9893805192447, 165.48801867686086, 0j]"
Cabaret_Voltaire,"[148.25652654980033, 222.68825776963016, (0.09071100298120217+0.002209579432031877j)]","[148.25652654980033, 222.68825776963016, (0.09048017680617121+0.010492832307715255j)]","[148.25652654980033, 222.68825776963016, 0j]","[148.25652654980033, 222.68825776963016, 0j]"
Abba,"[115.4569378050414, 144.8427471496158, (0.02775036010026906+0.00020899044550258024j)]","[115.4569378050414, 144.8427471496158, 0j]","[115.4569378050414, 144.8427471496158, (0.02793920061090365-0.004888392943668059j)]","[115.4569378050414, 144.8427471496158, 0j]"
Autechre,"[115.64452392872575, 178.80756938374125, (0.2221104050683926+0.019831734525861438j)]","[115.64452392872575, 178.80756938374125, 0j]","[115.64452392872575, 178.80756938374125, 0j]","[115.64452392872575, 178.80756938374125, 0j]"
