,0,1,2,3
Tomatito,"[106.94584160744148, 135.1807063902864, 0.0]","[106.94584160744148, 135.1807063902864, 0.0]","[106.94584160744148, 135.1807063902864, 0.0]","[106.94584160744148, 135.1807063902864, 0.0]"
Paulinho da Viola & Elton Medeiros,"[109.1306318143408, 137.19333019031612, 0.31818685524851875]","[109.1306318143408, 137.19333019031612, 0.0]","[109.1306318143408, 137.19333019031612, 0.0]","[109.1306318143408, 137.19333019031612, 0.0]"
Teresa Cristina,"[99.95445321209587, 130.15972698506087, 0.0333129258466337]","[99.95445321209587, 130.15972698506087, 0.0]","[99.95445321209587, 130.15972698506087, 0.0]","[99.95445321209587, 130.15972698506087, 0.0]"
Fado,"[105.94787163414033, 128.78281245936915, 0.3497362835126193]","[105.94787163414033, 128.78281245936915, 0.0]","[105.94787163414033, 128.78281245936915, 0.0]","[105.94787163414033, 128.78281245936915, 0.0]"
Genesis,"[95.51017515120968, 119.06594669117646, 0.24986226603849726]","[95.51017515120968, 119.06594669117646, 0.0]","[95.51017515120968, 119.06594669117646, 0.0]","[95.51017515120968, 119.06594669117646, 0.0]"
Femi_Kuti,"[98.7176465102785, 133.61919202302633, 0.1670971814717007]","[98.7176465102785, 133.61919202302633, 0.0]","[98.7176465102785, 133.61919202302633, 0.0]","[98.7176465102785, 133.61919202302633, 0.0]"
Aviador_Dro,"[96.09438344030272, 122.76273642676541, 0.13148239532242953]","[96.09438344030272, 122.76273642676541, 0.0]","[96.09438344030272, 122.76273642676541, 0.10534177404479998]","[96.09438344030272, 122.76273642676541, 0.0]"
"Elton Medeiros, Nelson Sargento & Galo Preto","[106.6253645939886, 127.48247949163779, 0.031280424289448425]","[106.6253645939886, 127.48247949163779, 0.0]","[106.6253645939886, 127.48247949163779, 0.0]","[106.6253645939886, 127.48247949163779, 0.0]"
Cabaret_Voltaire,"[108.59609928120337, 136.91372588317824, 0.2724639389141345]","[108.59609928120337, 136.91372588317824, 0.0]","[108.59609928120337, 136.91372588317824, 0.0]","[108.59609928120337, 136.91372588317824, 0.0]"
Abba,"[114.65351414753589, 128.33196597574144, 0.0]","[114.65351414753589, 128.33196597574144, 0.0]","[114.65351414753589, 128.33196597574144, 0.02773533329380347]","[114.65351414753589, 128.33196597574144, 0.0]"
Autechre,"[105.95877034731622, 135.7274209741105, 0.11114889360558171]","[105.95877034731622, 135.7274209741105, 0.0]","[105.95877034731622, 135.7274209741105, 0.0]","[105.95877034731622, 135.7274209741105, 0.0]"
