,0,1,2,3,4
Jive,0.6166666666666667,0.31666666666666665,0.23333333333333334,0.21666666666666667,0.21666666666666667
Quickstep,0.0,0.0,0.0,0.0,0.0
Rumba,0.8163265306122449,0.8571428571428571,0.8571428571428571,0.8469387755102041,0.8571428571428571
Samba,0.7325581395348837,0.8372093023255814,0.8488372093023255,0.8604651162790697,0.8604651162790697
Tango,0.9883720930232558,0.9651162790697675,0.9534883720930233,0.9418604651162791,0.9418604651162791
Viennese waltz,0.3076923076923077,0.1076923076923077,0.046153846153846156,0.03076923076923077,0.015384615384615385
Waltz,0.05454545454545454,0.18181818181818182,0.21818181818181817,0.2909090909090909,0.3
ChaCha,0.9279279279279279,0.8918918918918919,0.8288288288288288,0.8108108108108109,0.8018018018018018
