,0,1,2,3,4
Jive,0.16666666666666666,0.25,0.15,0.13333333333333333,0.08333333333333333
Quickstep,0.14634146341463414,0.036585365853658534,0.15853658536585366,0.08536585365853659,0.12195121951219512
Rumba,0.16326530612244897,0.09183673469387756,0.35714285714285715,0.061224489795918366,0.09183673469387756
Samba,0.27906976744186046,0.13953488372093023,0.16279069767441862,0.12790697674418605,0.09302325581395349
Tango,0.1744186046511628,0.09302325581395349,0.13953488372093023,0.26744186046511625,0.1511627906976744
Viennese waltz,0.15384615384615385,0.015384615384615385,0.12307692307692308,0.03076923076923077,0.07692307692307693
Waltz,0.00909090909090909,0.03636363636363636,0.0,0.2909090909090909,0.03636363636363636
ChaCha,0.14414414414414414,0.08108108108108109,0.02702702702702703,0.25225225225225223,0.15315315315315314
