genres,t1,t2,p score,ALOTC score
Jive,137.470286407364,179.25106122736037,(0.14985640966715488+0.005415328727381311j),0.15
Quickstep,131.76017702918537,171.62203416664764,(0.23789950511934113-0.0005900879408341296j),0.15853658536585366
Rumba,123.41786323143356,175.15605629423405,(0.3062850037968387+0.0007530434183252717j),0.35714285714285715
Samba,140.77240568465797,188.28054379520503,(0.1280078517514628+0.00234971023718958j),0.16279069767441862
Tango,142.61697760661397,193.4140521808627,(0.0812228385239865-6.874496204822172e-05j),0.13953488372093023
Viennese waltz,137.531072220794,187.39179785469423,(0.15375216797125735+0.0056536990126552986j),0.12307692307692308
Waltz,149.95019789877261,198.75956381535778,0j,0.0
ChaCha,118.33746208865523,164.33747807827984,(0.04490015363280173-0.0002194852652059628j),0.02702702702702703
