genres,t1,t2,p score,ALOTC score
Jive,100.25988777755522,156.12436142313115,0.5499407524708652,0.23333333333333334
Quickstep,100.50668569711549,105.9270337577239,0.0,0.0
Rumba,105.00328422973925,125.73329694914618,0.7708912080505286,0.8571428571428571
Samba,104.4811017155958,133.2444949312783,0.5123579310588909,0.8488372093023255
Tango,122.42116086636582,129.97827373915098,0.9768041705693475,0.9534883720930233
Viennese waltz,110.06253708649349,147.36978264575984,0.26159082863036137,0.046153846153846156
Waltz,121.33565072979943,136.48775214961717,0.15906576898323088,0.21818181818181817
ChaCha,114.5314811739004,125.61653767359842,0.9106676349932347,0.8288288288288288
